,TRAVELER_ID,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_ACCOMPANY
448,a001293,7,4,6,4,5,5,3인 이상 여행(가족 외)
449,a010370,4,5,4,4,4,4,자녀 동반 여행
450,a006987,5,1,5,4,1,5,나홀로 여행
451,a003753,4,1,3,2,6,5,2인 여행(가족 외)
452,a006264,2,2,2,6,6,6,자녀 동반 여행
453,a001440,1,6,6,5,4,4,2인 여행(가족 외)
454,a007364,6,1,6,6,1,7,2인 가족 여행
455,a004788,3,2,4,2,4,5,2인 여행(가족 외)
456,a004679,3,4,2,3,5,1,자녀 동반 여행
457,a015688,4,2,6,5,6,6,나홀로 여행
458,a004255,4,1,4,6,1,5,자녀 동반 여행
459,a001861,5,7,1,1,1,5,나홀로 여행
460,a015650,3,2,6,5,1,6,2인 여행(가족 외)
461,a002885,2,2,3,4,1,6,2인 가족 여행
462,a003380,1,1,4,1,3,5,나홀로 여행
463,a007196,2,2,4,5,5,5,자녀 동반 여행
464,a007784,1,2,1,4,1,6,나홀로 여행
465,a008211,5,2,2,7,7,1,나홀로 여행
466,a004305,6,2,2,4,5,2,나홀로 여행
